time	culture 1	culture 2	culture 3	culture 4	culture 5	culture 6	phage_vial 1	phage_vial 2	phage_vial 3
14.239166259765625	79.35887484594379	130.3844027096987	83.4932402615638	-11.041288950003876	58.70279121157783	121.93853091798519	69.10541439806414	71.90112389528096	-79.01040009497798
138.62041330337524	79.45746115366958	130.68156633805148	83.74665222449556	-11.041288950003876	58.82197467804163	122.05420775051594	69.15517241379312	72.12495581123895	-79.01040009497798
262.99067521095276	79.42883932239435	131.00047364652755	83.91031411722231	-11.041288950003876	58.931623467188324	122.14473744554002	69.6228977616455	72.25662164415543	-79.01040009497798
387.32191228866577	79.49244339189482	131.341124635127	84.01590243511055	-11.041288950003876	59.04127225633503	122.25538485056944	69.73236539624925	72.38828747707188	-79.01040009497798
511.62611198425293	79.56876827529545	131.7180150905987	83.90503470132792	-11.041288950003876	59.16045572279882	122.3157379805855	69.50845432546886	72.56384192096048	-79.01040009497798
635.9947602748871	79.68643580387135	132.76171173652037	84.17428491194289	-11.007145266325907	59.34399826115307	121.89326607047315	69.72241379310346	72.78767383691844	-78.9322806600973
760.3630409240723	79.84226577414756	133.22557691248554	84.40657921129701	-11.007145266325907	59.49416942889746	122.21012000305743	69.70251058681185	73.13000500250125	-78.9322806600973
884.7313754558563	79.92177086102319	133.29080795285566	84.34322622056409	-11.007145266325907	59.658642612617506	122.33082626308953	70.05081669691471	73.27044855761213	-78.9322806600973
1009.0159065723419	80.03943838959911	133.5299884342127	84.29571147751439	-11.007145266325907	59.84218515097177	122.45656195062297	70.22994555353904	73.42405869601465	-78.9322806600973
1133.381000995636	80.11576327299969	133.64595472820403	84.14260841657644	-11.007145266325907	59.949450270789185	122.4615913781243	70.55337265577738	73.62155744538934	-78.9322806600973
1257.7208030223846	80.16028612165005	134.16055515779036	84.0792554258435	-11.007145266325907	60.05909905993588	122.4766796606283	70.46878402903812	73.70494580623644	-78.9322806600973
1382.0920934677124	80.25569222590079	134.76213030787025	84.24819673446467	-11.007145266325907	60.113923454509234	122.55715050064973	70.37424379915306	73.88050025012504	-78.9322806600973
1506.440434217453	80.3606389405766	134.99406289585284	83.75193164038997	-11.007145266325907	60.17113151841186	122.5822976381564	70.55834845735026	73.99899949974986	-78.9322806600973
1630.743798494339	80.46876585872744	134.89984028198486	83.46684318209174	-11.007145266325907	60.23549059030231	122.66779790567912	70.76733212341199	74.22722027680507	-78.9322806600973
1755.1157236099243	80.46876585872744	135.31297020432885	83.60410799534644	-11.007145266325907	60.180666195728975	122.72312160819385	71.11563823351484	74.30621977655494	-78.9322806600973
1879.4156379699707	80.60551460815351	134.90708817535935	83.74137280860114	-11.007145266325907	60.24025792896087	122.91423985324467	71.07583182093167	74.45105219276303	-78.9322806600973
2003.7844483852386	80.5800729803533	136.90750674670923	84.82365306695553	-11.007145266325907	60.60734300566937	123.19588779331959	71.24500907441019	74.49494080373518	-78.9322806600973
2128.154561519623	80.6309562359537	136.54511207798646	84.90284430537172	-11.007145266325907	60.70030610951113	123.5228005809065	71.2151542649728	74.71438385859594	-78.9322806600973
2252.5246493816376	80.72954254367946	136.03051164840005	85.08762386167616	-11.007145266325907	60.80518755999928	123.46244745089045	71.23505747126438	74.78021677505416	-78.9322806600973
2376.8676748275757	80.77088518885478	136.07399900864684	85.0189914550488	-11.007145266325907	60.88861598652394	123.51777115340519	71.2151542649728	75.10938135734533	-78.9322806600973
2501.2382469177246	80.85675068268047	136.50887261111419	85.11930035704263	-11.007145266325907	60.94344038109728	123.58818313842389	71.20022686025412	74.95138235784559	-78.9322806600973
2625.6089236736298	80.89491312438076	136.6755741587267	85.23544750671965	-11.007145266325907	60.98873009835353	123.71391882595732	71.38433151845132	75.01282641320658	-78.9322806600973
2749.9775409698486	80.98077861820644	136.94374621358153	85.27768283387496	-11.007145266325907	61.00064844499991	123.74912481846673	70.9713399879008	75.0742704685676	-78.9322806600973
2874.347629070282	81.053923298132	137.48733821666576	85.27768283387496	-11.007145266325907	61.06500751689036	123.97041962852559	71.04597701149429	75.41660163415041	-78.9322806600973
2998.64656996727	81.24155530315846	138.44406014209395	85.55221246038438	-11.007145266325907	61.181807314024894	124.13136130856836	70.94148517846342	75.56143405035847	-78.9322806600973
3123.017592191696	82.33554529856698	145.40203778157183	91.87167328599517	-11.007145266325907	63.627452045862086	124.46833295115796	73.1905474894132	77.02731365682841	-78.9322806600973
3247.3929011821747	82.48183465841814	145.02514732610013	91.94558510851694	-11.007145266325907	63.76332119763082	124.62424520369945	72.58349969751967	78.09819576454893	-78.9322806600973
3371.7635045051575	82.62176361131922	145.74268877017133	92.03533517872195	-11.007145266325907	63.849133293484755	124.67453947871282	72.86214458560194	78.58535934633983	-78.9322806600973
3496.136198759079	82.76805297117035	146.17031447926422	91.95614394030578	-11.007145266325907	63.83006393885055	124.76003974623556	72.90692679975801	78.87063531765881	-78.9322806600973
3620.507393836975	82.87936009279622	146.26453709313213	91.92446744493928	-11.007145266325907	63.875353656106796	124.87068715126499	72.78750756200849	79.10324495581123	-78.9322806600973
3744.8224482536316	82.99384741789714	146.29352866662992	91.93502627672811	-11.007145266325907	63.89919034939955	124.97630512879307	72.79745916515428	79.23491078872769	-78.9322806600973
3868.989905834198	82.57088035571884	145.4382772484441	91.60770249127455	-11.041288950003876	63.660823416471956	124.6695100512115	72.48398366606173	79.25685509421376	-79.01040009497798
3993.146677017212	82.68218747734471	145.6774577298012	91.67105548200746	-11.041288950003876	63.756170189642994	124.77009860123825	72.39441923774956	79.52018676004667	-79.01040009497798
